month,Solid Ice Discharge,Liquid Runoff Ice Sheet,Liquid Runoff Tundra,Liquid Runoff Ice Caps,Precipitation Fjords
1,49.01603257783882,1.0037309453095227,27.172136681798047,0.455092571759303,22.353007223294306
2,55.547157981659566,1.0111679814837147,24.726071434155592,0.4628973448976955,18.252705257803427
3,51.9579306803935,1.0913781919459746,28.987262174708434,0.4647618495019188,17.498667103450156
4,27.77549941062254,1.8071477474899118,58.15266007488111,0.4632855478069344,11.80140721919951
5,12.772559168866007,12.116877757619923,69.37531158833033,1.1092587037299229,4.625992781453809
6,5.6726126058863,48.45593453292804,37.77857988818919,5.206020670611144,2.8868523023853285
7,3.23510022822135,69.33937066129933,17.09030244909376,9.039956364603313,1.2952702967822547
8,3.9684339885349162,67.92655079651992,16.944152080703283,8.744429002233039,2.4164341320088423
9,10.429927395492983,44.2516530617789,32.76643558486382,3.8732611544034388,8.678722803460849
10,27.082955859057144,6.679202472094067,50.24609348827116,0.5578100289098743,15.433938151667753
11,31.529401698690084,2.691078247482337,45.189453937084565,0.3884446272482748,20.201621489494745
12,41.77074774861575,1.0707504782499462,37.5448227325632,0.44611583610493827,19.167563204466166
