month,Liquid Runoff Ice Sheet,Liquid Runoff Ice Caps,Liquid Runoff Tundra,Precipitation Fjords,Precipitation Fjords CARRA,Solid Ice Discharge
1,0.43893623,0.13848956,1.6115586,5.7252827,4.708096475231646,41.08193786722055
2,0.38438565,0.12089759,1.2280511,4.692945,3.9542577684138847,41.041359144541744
3,0.42793834,0.13789667,1.481589,3.8745887,3.188659821889741,41.07253994820158
4,0.8603607,0.27383205,6.987302,3.9769342,3.0585573926420215,41.08570134807551
5,7.2288795,1.1592598,29.736063,3.6970468,2.720710470830577,41.43425320075183
6,69.56421,11.608071,52.38131,2.9936438,2.458218261312672,42.18564222576462
7,192.0279,40.476696,39.466175,3.2137518,3.0388868765022754,42.12910216478757
8,107.52768,22.81507,23.460903,4.390345,4.158521038800853,41.20339599296029
9,17.480892,3.6870224,9.541537,6.321964,5.610500345079423,40.79353910860919
10,1.6327116,0.39745843,5.115628,5.7101884,4.713777068892615,40.96668161194618
11,0.63048565,0.16272257,3.8144577,5.2861156,4.381088645920651,41.10856942656608
12,0.4766747,0.1474926,2.4341884,4.769681,3.8387285002630094,41.19390368354391
